FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,SCHED_DEP_DATE,SCHED_DEP_TIME,ACTUAL_DEP_DATE,ACTUAL_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR_OF_MANUFACTURE,MANUFACTURER,ICAO_TYPE,ACTIVE_WEATHER
44568,0,DL,659,N333NB,JFK,AUS,2022-01-07,0:00:00,2022-01-07,8:30:00,0,0,0,2,2001,Airbus,A319,0
44569,17,AA,2772,N339PL,JFK,AUS,2022-01-08,17:45:00,2022-01-08,17:29:00,22,16,228,0,2017,Boeing,B738,0
44569,7,AA,2813,N991NN,JFK,AUS,2022-01-08,7:55:00,2022-01-08,7:59:00,16,-4,214,0,2016,Boeing,B738,0
44569,14,YX,4503,N412YX,JFK,RDU,2022-01-08,14:46:00,2022-01-08,14:30:00,16,16,70,0,2013,Embraer,E75L,0
44569,16,YX,4540,N453YX,JFK,RDU,2022-01-08,16:52:00,2022-01-08,16:45:00,22,7,71,0,2021,Embraer,E75L,0
44569,12,YX,4628,N446YX,JFK,RDU,2022-01-08,12:57:00,2022-01-08,13:00:00,27,-3,74,0,2015,Embraer,E75L,0
44569,7,YX,4926,N107HQ,JFK,RDU,2022-01-08,7:33:00,2022-01-08,7:40:00,21,-7,79,0,2007,Embraer,E75L,0
44569,18,B6,1185,N266JB,JFK,RDU,2022-01-08,18:29:00,2022-01-08,17:29:00,18,60,71,0,2007,Embraer,E190,0
44569,14,B6,285,N358JB,JFK,RDU,2022-01-08,14:40:00,2022-01-08,12:20:00,17,140,70,0,2013,Embraer,E190,0
44569,14,B6,295,N768JB,JFK,AUS,2022-01-08,14:20:00,2022-01-08,13:44:00,24,36,207,0,2009,Airbus,A320,0
44569,20,B6,385,N358JB,JFK,RDU,2022-01-08,20:37:00,2022-01-08,20:40:00,16,-3,68,0,2013,Embraer,E190,0
44569,6,B6,795,N649JB,JFK,AUS,2022-01-08,6:51:00,2022-01-08,6:59:00,21,-8,211,0,2006,Airbus,A320,0
44569,21,B6,97,N956JT,JFK,DEN,2022-01-08,21:34:00,2022-01-08,20:00:00,17,94,239,0,2015,Airbus,A321,0
44569,20,DL,1077,N895DN,JFK,DEN,2022-01-08,20:56:00,2022-01-08,19:59:00,30,57,236,0,2018,Boeing,B739,0
44569,8,DL,1170,N721TW,JFK,DEN,2022-01-08,8:48:00,2022-01-08,7:59:00,27,49,234,0,1999,Boeing,B752,0
44569,16,9E,4829,N691CA,JFK,RDU,2022-01-08,16:53:00,2022-01-08,16:55:00,24,-2,71,0,2007,Bombardier,CRJ9,0
44569,8,9E,4873,N908XJ,JFK,RDU,2022-01-08,8:28:00,2022-01-08,8:15:00,21,13,73,0,2007,Bombardier,CRJ9,0
44569,12,9E,5113,N341PQ,JFK,RDU,2022-01-08,12:07:00,2022-01-08,11:00:00,17,67,71,0,2014,Bombardier,CRJ9,0
44569,19,9E,5247,N315PQ,JFK,RDU,2022-01-08,19:23:00,2022-01-08,19:30:00,19,-7,69,0,2014,Bombardier,CRJ9,0
44569,13,9E,5447,N311PQ,JFK,RDU,2022-01-08,13:36:00,2022-01-08,13:35:00,16,1,74,0,2014,Bombardier,CRJ9,0
44569,19,DL,655,N342NB,JFK,AUS,2022-01-08,19:37:00,2022-01-08,18:39:00,40,58,208,0,2002,Airbus,A319,0
44569,8,DL,659,N342NB,JFK,AUS,2022-01-08,8:52:00,2022-01-08,8:30:00,28,22,208,0,2002,Airbus,A319,0
44570,17,AA,2772,N961NN,JFK,AUS,2022-01-09,17:55:00,2022-01-09,17:29:00,21,26,236,0,2014,Boeing,B738,0
44570,7,AA,2813,N335PH,JFK,AUS,2022-01-09,7:57:00,2022-01-09,8:00:00,13,-3,235,0,2017,Boeing,B738,0
44570,14,YX,4503,N103HQ,JFK,RDU,2022-01-09,14:24:00,2022-01-09,14:30:00,40,-6,79,0,2007,Embraer,E75L,0
