FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,SCHED_DEP_DATE,SCHED_DEP_TIME,ACTUAL_DEP_DATE,ACTUAL_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,ACTIVE_WEATHER
44568,19,DL,1077,N863DN,JFK,DEN,1/7/2022,7:55:00 PM,1/7/2022,7:59:00 PM,66,-4,246,0,2016,Boeing,B739,0
44568,0,DL,1170,N712TW,JFK,DEN,1/7/2022,12:00:00 AM,1/7/2022,8:05:00 AM,0,0,0,2,1997,Boeing,B752,0
44568,0,DL,1175,N342NB,JFK,AUS,1/7/2022,12:00:00 AM,1/7/2022,1:05:00 PM,0,0,0,2,2002,Airbus,A319,0
44568,19,9E,4829,N348PQ,JFK,RDU,1/7/2022,7:09:00 PM,1/7/2022,4:55:00 PM,20,134,73,0,2015,Bombardier,CRJ9,0
44568,0,9E,4873,N296PQ,JFK,RDU,1/7/2022,12:00:00 AM,1/7/2022,8:15:00 AM,0,0,0,2,2013,Bombardier,CRJ9,0
44568,0,9E,5113,N348PQ,JFK,RDU,1/7/2022,12:00:00 AM,1/7/2022,11:42:00 AM,0,0,0,2,2015,Bombardier,CRJ9,0
44568,20,9E,5247,N294PQ,JFK,RDU,1/7/2022,8:25:00 PM,1/7/2022,7:20:00 PM,34,65,72,0,2013,Bombardier,CRJ9,0
44568,0,YX,5619,N203JQ,JFK,RDU,1/7/2022,12:00:00 AM,1/7/2022,1:35:00 PM,0,0,0,2,2008,Embraer,E75L,0
44568,18,DL,655,N333NB,JFK,AUS,1/7/2022,6:55:00 PM,1/7/2022,6:39:00 PM,28,16,211,0,2001,Airbus,A319,0
44568,0,DL,659,N333NB,JFK,AUS,1/7/2022,12:00:00 AM,1/7/2022,8:30:00 AM,0,0,0,2,2001,Airbus,A319,0
44569,17,AA,2772,N339PL,JFK,AUS,1/8/2022,5:45:00 PM,1/8/2022,5:29:00 PM,22,16,228,0,2017,Boeing,B738,0
44569,7,AA,2813,N991NN,JFK,AUS,1/8/2022,7:55:00 AM,1/8/2022,7:59:00 AM,16,-4,214,0,2016,Boeing,B738,0
44569,14,YX,4503,N412YX,JFK,RDU,1/8/2022,2:46:00 PM,1/8/2022,2:30:00 PM,16,16,70,0,2013,Embraer,E75L,0
44569,16,YX,4540,N453YX,JFK,RDU,1/8/2022,4:52:00 PM,1/8/2022,4:45:00 PM,22,7,71,0,2021,Embraer,E75L,0
44569,12,YX,4628,N446YX,JFK,RDU,1/8/2022,12:57:00 PM,1/8/2022,1:00:00 PM,27,-3,74,0,2015,Embraer,E75L,0
44569,7,YX,4926,N107HQ,JFK,RDU,1/8/2022,7:33:00 AM,1/8/2022,7:40:00 AM,21,-7,79,0,2007,Embraer,E75L,0
44569,18,B6,1185,N266JB,JFK,RDU,1/8/2022,6:29:00 PM,1/8/2022,5:29:00 PM,18,60,71,0,2007,Embraer,E190,0
44569,14,B6,285,N358JB,JFK,RDU,1/8/2022,2:40:00 PM,1/8/2022,12:20:00 PM,17,140,70,0,2013,Embraer,E190,0
44569,14,B6,295,N768JB,JFK,AUS,1/8/2022,2:20:00 PM,1/8/2022,1:44:00 PM,24,36,207,0,2009,Airbus,A320,0
44569,20,B6,385,N358JB,JFK,RDU,1/8/2022,8:37:00 PM,1/8/2022,8:40:00 PM,16,-3,68,0,2013,Embraer,E190,0
44569,6,B6,795,N649JB,JFK,AUS,1/8/2022,6:51:00 AM,1/8/2022,6:59:00 AM,21,-8,211,0,2006,Airbus,A320,0
44569,21,B6,97,N956JT,JFK,DEN,1/8/2022,9:34:00 PM,1/8/2022,8:00:00 PM,17,94,239,0,2015,Airbus,A321,0
44569,20,DL,1077,N895DN,JFK,DEN,1/8/2022,8:56:00 PM,1/8/2022,7:59:00 PM,30,57,236,0,2018,Boeing,B739,0
44569,8,DL,1170,N721TW,JFK,DEN,1/8/2022,8:48:00 AM,1/8/2022,7:59:00 AM,27,49,234,0,1999,Boeing,B752,0
44569,16,9E,4829,N691CA,JFK,RDU,1/8/2022,4:53:00 PM,1/8/2022,4:55:00 PM,24,-2,71,0,2007,Bombardier,CRJ9,0
44569,8,9E,4873,N908XJ,JFK,RDU,1/8/2022,8:28:00 AM,1/8/2022,8:15:00 AM,21,13,73,0,2007,Bombardier,CRJ9,0
44569,12,9E,5113,N341PQ,JFK,RDU,1/8/2022,12:07:00 PM,1/8/2022,11:00:00 AM,17,67,71,0,2014,Bombardier,CRJ9,0
44569,19,9E,5247,N315PQ,JFK,RDU,1/8/2022,7:23:00 PM,1/8/2022,7:30:00 PM,19,-7,69,0,2014,Bombardier,CRJ9,0
44569,13,9E,5447,N311PQ,JFK,RDU,1/8/2022,1:36:00 PM,1/8/2022,1:35:00 PM,16,1,74,0,2014,Bombardier,CRJ9,0
44569,19,DL,655,N342NB,JFK,AUS,1/8/2022,7:37:00 PM,1/8/2022,6:39:00 PM,40,58,208,0,2002,Airbus,A319,0
44569,8,DL,659,N342NB,JFK,AUS,1/8/2022,8:52:00 AM,1/8/2022,8:30:00 AM,28,22,208,0,2002,Airbus,A319,0
44570,17,AA,2772,N961NN,JFK,AUS,1/9/2022,5:55:00 PM,1/9/2022,5:29:00 PM,21,26,236,0,2014,Boeing,B738,0
44570,7,AA,2813,N335PH,JFK,AUS,1/9/2022,7:57:00 AM,1/9/2022,8:00:00 AM,13,-3,235,0,2017,Boeing,B738,0
44570,14,YX,4503,N103HQ,JFK,RDU,1/9/2022,2:24:00 PM,1/9/2022,2:30:00 PM,40,-6,79,0,2007,Embraer,E75L,0
44570,16,YX,4540,N413YX,JFK,RDU,1/9/2022,4:41:00 PM,1/9/2022,4:45:00 PM,23,-4,74,0,2013,Embraer,E75L,0
44570,12,YX,4628,N428YX,JFK,RDU,1/9/2022,12:54:00 PM,1/9/2022,1:00:00 PM,35,-6,74,0,2014,Embraer,E75L,0
44570,7,YX,4926,N453YX,JFK,RDU,1/9/2022,7:34:00 AM,1/9/2022,7:40:00 AM,16,-6,76,0,2021,Embraer,E75L,0
44570,17,B6,1185,N274JB,JFK,RDU,1/9/2022,5:42:00 PM,1/9/2022,5:29:00 PM,11,13,75,0,2007,Embraer,E190,0
